objectid,filename,youtubeid,title,creator,date,description,subject,type,format,for,event,fabric,skirtlength,sleevelength,color,pattern,complete,dimensions
purple_gingham_dress_larger_1,purple_gingham_dress_larger_1.jpg,,Purple Gingham Dress,Abigail Suddarth,2002,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs. The larger of the two dresses. Front of dress.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length; Spring; Summer,Children's Clothes,image/jpeg,Grandchildren of Ruth Kramer,,Batiste and Cotton,Knee,Shoulder,Purple,Gingham,Yes,"33"""
purple_gingham_dress_larger_back_2,purple_gingham_dress_larger_back_2.jpg,,Purple Gingham Dress,Abigail Suddarth,2002,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs. The larger of the two dresses. Back of dress.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length; Spring; Summer,Children's Clothes,image/jpeg,Grandchildren of Ruth Kramer,,Batiste and Cotton,Knee,Shoulder,Purple,Gingham,Yes,"33"""
purple_gingham_dresses_1,purple_gingham_dresses_1.jpg,,Purple Gingham Dress,Abigail Suddarth,2002,"Matching short-sleeved, purple gingham dress with full skirts, light green, gingham trim, and 3D flower designs. Fronts of dresses.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length; Spring; Summer,Children's Clothes,image/jpeg,Grandchildren of Ruth Kramer,,Batiste and Cotton,Knee,Shoulder,Purple,Gingham,Yes,"29.5"" and 33"""
quilt_decorative_for_abigail_suddarth_2007,quilt_decorative_for_abigail_suddarth_2007.jpg,,"Small, Decorative Quilt",Abigail Suddarth,2007,"Throw quilt featuring three-toned pink border, eight Easter eggs on yellow backgrounds, six hot pink eighth notes and three blue eighth notes on a pale pink background, two baby chicks doing cartwheels on a blue background, six chicks' feet, and three stemmed yellow flowers and stemmed pink flowers on a light green background. Total size: 23.5"" by 30""",Quilt; DÈcor; Decorative; Pink; Easter Eggs; Eighth Notes; Music Notes; Chicks; Chickens; Cart Wheels; Chicken Feet; Flowers; Tulips; Yellow; Blue; Green,Quilt,image/jpeg,Abigail Suddarth,Birthday Present,Quilting Cotton,,,Multi,Hexagons,Yes,"23.5"" by 30"""
quiltop_abigial_suddarth,quiltop_abigial_suddarth.jpg,,Abigail Suddarth Quilt Top,Abigail Suddarth,,"Quilt top consisting of hexagon pieces in shades of light green, light teal, and pink. Features two white zig-zags in the middle made from five white flowers each made from seven white hexagons with a colorful center. Unfinished. Total Size: 62"" by 65""",Quilt Top; Hexagons; Unfinished; Incomplete; Pink; Teal; Green; White; Zig-Zag,Quilt,image/jpeg,Abigail Suddarth,Graduation Present,Quilting Cotton,,,Multi,Hexagons,No,"62"" by 65"""
quiltop_marti_kramer_suddarth_full,quiltop_marti_kramer_suddarth_full.jpg,,Marti Suddarth Quilt Top,Abigail Suddarth,,"Quilt top consisting of multi-colored flowers made from seven hexagons with white hexagons separating the flowers. Consists of sixty-eight flowers and twenty-six partial flowers on the edges. Unfinished. Total Size: 56"" by 60""",Quilt Top; Hexagons; Unfinished; Incomplete; Flowers; Multi-Colored,Quilt,image/jpeg,Marti Kramer Suddarth,Graduation Present,Quilting Cotton,,,Multi,Hexagons,No,"56"" by 60"""
quiltop_scott_suddarth_full,quiltop_scott_suddarth_full.jpg,,Scott Suddarth Quilt Top,Abigail Suddarth,,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds. Consists twenty-one total diamonds with fifteen partial diamond on the edges. Unfinished. Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Quilt,image/jpeg,Scott Suddarth,Graduation Present,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
quiltop_scott_suddarth_left,quiltop_scott_suddarth_left.jpg,,Scott Suddarth Quilt Top,Abigail Suddarth,,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds. Consists twenty-one total diamonds with fifteen partial diamond on the edges. Unfinished. Left side pictured. Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Quilt,image/jpeg,Scott Suddarth,Graduation Present,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
quiltop_scott_suddarth_right,quiltop_scott_suddarth_right.jpg,,Scott Suddarth Quilt Top,Abigail Suddarth,,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds. Consists twenty-one total diamonds with fifteen partial diamond on the edges. Unfinished. Right side pictured. Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Quilt,image/jpeg,Scott Suddarth,Graduation Present,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
red_dress_1,red_dress_1.jpg,,Red Dress,Abigail Suddarth,1971,"Long-sleeved, straight, red dress with small, yellow rose pattern, white neckline, and yellow rick-rack trim on sleeves and around neckline.",Children's; Dress; Red; Floral; Roses; Rick-Rack; Short; 1970's,Children's Clothes,image/jpeg,Marti Kramer Suddarth,Graduation Present,Cotton,Short,Long,Red,Floral,Yes,"23"""
pink_floral_dress,,CEUkl4B3Stg,Pink Floral Dress,Abigail Suddarth; Taylor Strong,2001,"Sleeveless, pink, floral dress with full skirt and attachable, matching purse.",Children's; Sleeveless; Dress; Pink; Floral; Purse; Detachable; Attachable; Full Skirt; Knee-Length; Matching; Spring; Summer; Autumn,Children's Clothes,video/mp4,Abigail Suddarth,Graduation Present,Batiste and Cotton,Knee,Sleeveless,Pink,Floral,Yes,"29"""
purple_floral_dress,,3vvne7EysO0,Purple Gingham Dress,Abigail Suddarth; Taylor Strong,2002,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length; Spring; Summer,Children's Clothes,video/mp4,Grandchildren of Ruth Kramer,Graduation Present,Batiste and Cotton,Knee,Shoulder,Purple,Gingham,Yes,"33"""
