objectid,filename,title,type,format,youtubeid,datepicturetaken,date,creator,description,subject,for,event,fabric,skirtlength,sleevelength,color,pattern,complete,dimensions
dollclothespolkadotbeadedblouseandyellowcheckeredshorts,dollclothespolkadotbeadedblouseandyellowcheckeredshorts.jpg,eighteen,Doll Clothes,image/jpeg,,2022-11-08,2007,Abigail Suddarth,"Doll Clothes: Two-tone yellow, checkered shorts.  Paired with matching short-sleeved, sky blue blouse with white polka dots, clear beading around necklines, and Velcro closure in back.",Doll Clothes; Polka Dots; Blue; short-sleeved; Blouse; Shirt;  Beading; Shorts; Yellow; Checkered; Velcro; Elastic,Abigail Suddarth,,,Short,Shoulder,Light Blue; Yellow,Checked,Yes,
dollclothesstrawberryandheartblouseandblueshorts,dollclothesstrawberryandheartblouseandblueshorts.jpg,nineteen,Doll Clothes,image/jpeg,,2022-11-08,2007,Abigail Suddarth,"Doll Clothes: Short-sleeved, white blouse with small, red strawberries and hearts pattern.  Paired with light blue shorts.",Doll Clothes; Blouse; Shirt; short-sleeved; White; Hearts; Heart; Strawberries; Strawberry; Elastic; Shorts; Blue,Abigail Suddarth,,,Short,Shoulder,White,Strawberry and Hearts,Yes,
dollclothesyellowblouseandbluepants,dollclothesyellowblouseandbluepants.jpg,twenty,Doll Clothes,image/jpeg,,2022-11-08,2007,Abigail Suddarth,"Doll Clothes: Short-sleeved, yellow blouse with decorative three white, heart-shaped buttons at neckline and Velcro closure in back.  Paired with long, light blue pants.",Doll Clothes; Blouse; Shirt; short-sleeved; Yellow; Velcro; Pants; Blue; Long; Elastic,Abigail Suddarth,,,Full,Shoulder,Yellow,Solid,Yes,
dollclothesyellowblousebluevestandbluepants,dollclothesyellowblousebluevestandbluepants.jpg,twentyone,Doll Clothes,image/jpeg,,2022-11-08,2007,Abigail Suddarth,"Doll Clothes: Blue, speckled pattern vest with tie closures in back.  Worn over short-sleeved, yellow blouse with decorative three white, heart-shaped buttons at neckline and paired with long, light blue pants.",Doll Clothes; Vest; Ties; Blouse; Shirt; short-sleeved; Yellow; Velcro; Pants; Blue; Long; Elastic,Abigail Suddarth,,,Full,Shoulder,Blue,Solid,Yes,
hexagonboxinside,hexagonboxinside.jpg,twentytwo,Box,image/jpeg,,2022-11-08,,Abigail Suddarth,"Hexagon-shaped box with soft, white fabric to cushion the inside of the box and a decorative red ribbon.",Box; Storage; Upholstery; Green; Floral; Ribbons; Lace; Red; White; Hearts; Roses; Hexagon,Ruth Kramer,,,,,Green,Solid,Yes,
hexagonboxinsidelid,hexagonboxinsidelid.jpg,twentythree,Box,image/jpeg,,2022-11-08,,Abigail Suddarth,"Hexagon-shaped box with white upholstery inside of the lid and a decorative red, heart-shaped button.",Box; Storage; Upholstery; Green; Floral; Ribbons; Lace; Red; White; Hearts; Roses; Hexagon,Ruth Kramer,,,,,Green,Solid,Yes,
hexagonboxside,hexagonboxside.jpg,twentyfour,Box,image/jpeg,,2022-11-08,,Abigail Suddarth,"Hexagon-shaped box with dark green sides with yellow flowers, medium green and floral lid, with red ribbon at base and white lace, white 3D roses, and red and white ribbons on top.",Box; Storage; Upholstery; Green; Floral; Ribbons; Lace; Red; White; Hearts; Roses; Hexagon,Ruth Kramer,,,,,Green,Floral,Yes,
hexagonboxtop,hexagonboxtop.jpg,twentyfive,Box,image/jpeg,,2022-11-08,,Abigail Suddarth,"Hexagon-shaped box with medium green and floral lid with white lace, white 3D roses, and red and white ribbons on top.",Box; Storage; Upholstery; Green; Floral; Ribbons; Lace; Red; White; Hearts; Roses; Hexagon,Ruth Kramer,,,,,Green,Floral,Yes,
houndstoothpinaforesmaller,houndstoothpinaforesmaller.jpg,twentysix,Child's Dress,image/jpeg,,2022-11-08,2001,Abigail Suddarth,"Houndstooth pinafore with off-center, front-closing buttons, red roses along the closure, and a dropped waist.  The smaller of the two pinafores.",Children's; Pinafore; Blouse; Puffed Sleeves; Houndstooth; Roses; Red; Black; White; Dropped Waist; Off-Center Buttons,Grandchildren of Ruth Kramer,,,Calf,Sleeveless,Black and White,Houndstooth,Yes,"25"""
houndstoothpinafores,houndstoothpinafores.jpg,twentyseven,Child's Dress,image/jpeg,,2022-11-08,2001,Abigail Suddarth,"Matching houndstooth pinafore with off-center, front-closing buttons, red roses along the closures, and a dropped waists.",Children's; Pinafore; Blouse; Puffed Sleeves; Houndstooth; Roses; Red; Black; White; Dropped Waist; Off-Center Buttons,Grandchildren of Ruth Kramer,,,Calf,Sleeveless,Black and White,Houndstooth,Yes,"25"" and 30"""
